Entity,Code,Year,Hydro (% equivalent primary energy)
Ecuador,ECU,2019,30767733.0
Ecuador,ECU,2020,3504654.0
Ecuador,ECU,2021,31606415.0
Mexico,MEX,1965,8934723.0
Mexico,MEX,1966,963311.0
Mexico,MEX,1967,10291331.0
Mexico,MEX,1968,10842834.0
Mexico,MEX,1969,104753.0
Mexico,MEX,1970,10981713.0
Mexico,MEX,1971,10142725.0
Mexico,MEX,1972,9780027.0
Mexico,MEX,1973,9558098.0
Mexico,MEX,1974,8859077.0
Mexico,MEX,1975,7537663.0
Mexico,MEX,1976,8049266.0
Mexico,MEX,1977,8487074.0
Mexico,MEX,1978,6372474.0
Mexico,MEX,1979,6399861.0
Mexico,MEX,1980,55170903.0
Mexico,MEX,1981,7264395.0
Mexico,MEX,1982,649096.0
Mexico,MEX,1983,5936908.0
Mexico,MEX,1984,6457451.0
Mexico,MEX,1985,7410039.0
Mexico,MEX,1986,57216263.0
Mexico,MEX,1987,50159335.0
Mexico,MEX,1988,5636938.0
Mexico,MEX,1989,61969137.0
Mexico,MEX,1990,568796.0
Mexico,MEX,1991,5061256.0
Mexico,MEX,1992,58929014.0
Mexico,MEX,1993,58281927.0
Mexico,MEX,1994,41955853.0
Mexico,MEX,1995,5796837.0
Mexico,MEX,1996,63794622.0
Mexico,MEX,1997,5279362.0
Mexico,MEX,1998,47169094.0
Mexico,MEX,1999,61905947.0
Mexico,MEX,2000,5977931.0
Mexico,MEX,2001,51713114.0
Mexico,MEX,2002,4355476.0
Mexico,MEX,2003,34287248.0
Mexico,MEX,2004,40983152.0
Mexico,MEX,2005,4211103.0
Mexico,MEX,2006,4456438.0
Mexico,MEX,2007,39571528.0
Mexico,MEX,2008,5520945.0
Mexico,MEX,2009,37718177.0
Mexico,MEX,2010,5060967.0
Mexico,MEX,2011,4685401.0
Mexico,MEX,2012,40740156.0
Mexico,MEX,2013,35412524.0
Mexico,MEX,2014,4907347.0
Mexico,MEX,2015,38796492.0
Mexico,MEX,2016,37838523.0
Mexico,MEX,2017,384663.0
Mexico,MEX,2018,39177847.0
Mexico,MEX,2019,29550245.0
Mexico,MEX,2020,39604142.0
Mexico,MEX,2021,4817839.0
Peru,PER,1965,13740327.0
Peru,PER,1966,12172948.0
Peru,PER,1967,13394147.0
Peru,PER,1968,14111241.0
Peru,PER,1969,1524189.0
Peru,PER,1970,14120807.0
Peru,PER,1971,16338242.0
Peru,PER,1972,18845688.0
Peru,PER,1973,1765823.0
Peru,PER,1974,16674969.0
Peru,PER,1975,16969631.0
Peru,PER,1976,17693842.0
Peru,PER,1977,18285824.0
Peru,PER,1978,1888437.0
Peru,PER,1979,196417.0
Peru,PER,1980,19236677.0
Peru,PER,1981,20879112.0
Peru,PER,1982,21923265.0
Peru,PER,1983,23918608.0
Peru,PER,1984,2435183.0
Peru,PER,1985,26438389.0
Peru,PER,1986,264908.0
Peru,PER,1987,26656618.0
Peru,PER,1988,26177116.0
Peru,PER,1989,28690699.0
Peru,PER,1990,28896778.0
Peru,PER,1991,31945934.0
Peru,PER,1992,27657557.0
Peru,PER,1993,30888271.0
Peru,PER,1994,30669312.0
Peru,PER,1995,28575066.0
Peru,PER,1996,28460152.0
Peru,PER,1997,27990246.0
Peru,PER,1998,29129261.0
Peru,PER,1999,29797209.0
Peru,PER,2000,3215531.0
Peru,PER,2001,3517043.0
Peru,PER,2002,34955475.0
Peru,PER,2003,36176796.0
Peru,PER,2004,31985987.0
Peru,PER,2005,31171518.0
Peru,PER,2006,3345933.0
Peru,PER,2007,30307896.0
Peru,PER,2008,27272123.0
Peru,PER,2009,2760283.0
Peru,PER,2010,24275156.0
Peru,PER,2011,23501474.0
Peru,PER,2012,2313064.0
Peru,PER,2013,22786526.0
Peru,PER,2014,21982971.0
Peru,PER,2015,22240726.0
Peru,PER,2016,21107538.0
Peru,PER,2017,24546741.0
Peru,PER,2018,2449088.0
Peru,PER,2019,24276814.0
Peru,PER,2020,2775659.0
Peru,PER,2021,25084099.0
Venezuela,VEN,1965,21140678.0
Venezuela,VEN,1966,21339145.0
Venezuela,VEN,1967,2373532.0
Venezuela,VEN,1968,36946752.0
Venezuela,VEN,1969,4241876.0
Venezuela,VEN,1970,54061537.0
Venezuela,VEN,1971,6983937.0
Venezuela,VEN,1972,7378936.0
Venezuela,VEN,1973,6668883.0
Venezuela,VEN,1974,79816523.0
Venezuela,VEN,1975,8893406.0
Venezuela,VEN,1976,9633482.0
Venezuela,VEN,1977,9939145.0
Venezuela,VEN,1978,9782297.0
Venezuela,VEN,1979,10329237.0
Venezuela,VEN,1980,9454481.0
Venezuela,VEN,1981,9426736.0
Venezuela,VEN,1982,9688068.0
Venezuela,VEN,1983,11105163.0
Venezuela,VEN,1984,12205676.0
Venezuela,VEN,1985,13293667.0
Venezuela,VEN,1986,13745109.0
Venezuela,VEN,1987,16863821.0
Venezuela,VEN,1988,17953768.0
Venezuela,VEN,1989,18045057.0
Venezuela,VEN,1990,1811904.0
Venezuela,VEN,1991,21675652.0
Venezuela,VEN,1992,21255587.0
Venezuela,VEN,1993,2157694.0
Venezuela,VEN,1994,2146965.0
Venezuela,VEN,1995,20915274.0
Venezuela,VEN,1996,2246204.0
Venezuela,VEN,1997,22598198.0
Venezuela,VEN,1998,21551678.0
Venezuela,VEN,1999,22529488.0
Venezuela,VEN,2000,22723845.0
Venezuela,VEN,2001,20884945.0
Venezuela,VEN,2002,20203684.0
Venezuela,VEN,2003,21840666.0
Venezuela,VEN,2004,23130436.0
Venezuela,VEN,2005,24533659.0
Venezuela,VEN,2006,24401985.0
Venezuela,VEN,2007,23413424.0
Venezuela,VEN,2008,2475938.0
Venezuela,VEN,2009,24415695.0
Venezuela,VEN,2010,2248374.0
Venezuela,VEN,2011,23651121.0
Venezuela,VEN,2012,22077734.0
Venezuela,VEN,2013,21695618.0
Venezuela,VEN,2014,22150639.0
Venezuela,VEN,2015,20776852.0
Venezuela,VEN,2016,19914585.0
Venezuela,VEN,2017,21902815.0
Venezuela,VEN,2018,21993937.0
Venezuela,VEN,2019,22543516.0
Venezuela,VEN,2020,3009027.0
Venezuela,VEN,2021,28387844.0
